split,source_label,label,tfidf_similarity,keyword_overlap_ratio,education_level_score,experience_gap,sbert_score
train,No Fit,0,0.0802,0.5,1,8.0,0.32075673
train,No Fit,0,0.114,0.55,2,12.0,0.40693206
train,No Fit,0,0.02,0.15,1,5.0,0.23084176
train,No Fit,0,0.0627,0.25,-1,0.0,0.32347184
train,No Fit,0,0.077,0.3,-1,0.0,0.48534507
train,No Fit,0,0.0237,0.3,1,9.0,0.19755769
train,No Fit,0,0.0452,0.0,0,1.0,0.26302117
train,No Fit,0,0.0509,0.35,0,0.0,0.32546335
train,No Fit,0,0.0346,0.25,0,2.0,0.2893898
train,No Fit,0,0.0811,0.2,0,13.0,0.30765873
train,No Fit,0,0.0728,0.5,1,0.0,0.41445708
train,No Fit,0,0.072,0.3,-1,29.0,0.34289527
train,No Fit,0,0.0955,0.2,0,0.0,0.36156684
train,No Fit,0,0.0113,0.05,0,8.0,0.29003578
train,No Fit,0,0.0564,0.35,0,13.0,0.41003737
train,No Fit,0,0.0423,0.1,-2,7.0,0.42081028
train,No Fit,0,0.1666,0.35,-1,8.0,0.45418423
train,No Fit,0,0.0517,0.45,1,5.0,0.18098535
train,No Fit,0,0.0468,0.2,2,5.0,0.38102192
train,No Fit,0,0.0796,0.1,1,-5.0,0.32983512
train,No Fit,0,0.018,0.2,0,0.0,0.15552106
train,No Fit,0,0.0418,0.2,-1,5.0,0.41963187
train,No Fit,0,0.0751,0.35,-1,7.0,0.32939023
train,No Fit,0,0.085,0.35,0,7.0,0.28059337
train,No Fit,0,0.1087,0.45,0,0.0,0.3776173
train,No Fit,0,0.0375,0.15,1,15.0,0.2509929
train,No Fit,0,0.0809,0.05,-2,13.0,0.14633852
train,No Fit,0,0.0516,0.1,0,20.0,0.32913786
train,No Fit,0,0.0113,0.15,0,10.0,0.15372024
train,No Fit,0,0.0532,0.15,0,0.0,0.428127
train,No Fit,0,0.0862,0.25,-1,14.0,0.52713287
train,No Fit,0,0.062,0.2,0,0.0,0.41872114
train,No Fit,0,0.0309,0.3,-2,-10.0,0.32364455
train,No Fit,0,0.0397,0.3333,-2,12.0,0.37848926
train,No Fit,0,0.0347,0.1,0,0.0,0.3653481
train,No Fit,0,0.0663,0.2,1,-2.0,0.2644108
train,No Fit,0,0.1041,0.35,0,5.0,0.32085234
train,No Fit,0,0.0754,0.3333,0,13.0,0.18343374
train,No Fit,0,0.0363,0.1,0,1.0,0.21463805
train,No Fit,0,0.0428,0.35,0,8.0,0.30366388
train,No Fit,0,0.1201,0.25,1,11.0,0.3585754
train,No Fit,0,0.0177,0.1,-1,20.0,0.18555526
